converted,score_differential,game_seconds_remaining,situation
1,-7.0,26.0,Short_Opponent Territory
0,-7.0,4.0,Long_Red Zone
1,-15.0,245.0,Short_Red Zone
1,0.0,3527.0,Short_Midfield Area
0,-17.0,1491.0,Short_Red Zone
0,-17.0,923.0,Medium_Opponent Territory
1,17.0,644.0,Short_Opponent Territory
1,-7.0,2951.0,Short_Opponent Territory
1,-7.0,2564.0,Short_Red Zone
0,-1.0,856.0,Medium_Opponent Territory
0,-4.0,120.0,Medium_Midfield Area
1,-14.0,1944.0,Short_Opponent Territory
1,11.0,551.0,Short_Red Zone
0,-18.0,402.0,Short_Midfield Area
1,-21.0,199.0,Medium_Midfield Area
1,-21.0,60.0,Medium_Red Zone
1,3.0,2222.0,Short_Red Zone
1,-6.0,1857.0,Short_Red Zone
1,-10.0,2532.0,Short_Midfield Area
1,-10.0,2325.0,Short_Opponent Territory
1,1.0,1246.0,Short_Midfield Area
1,-9.0,204.0,Long_Midfield Area
1,7.0,565.0,Short_Opponent Territory
1,-10.0,69.0,Short_Midfield Area
1,17.0,1962.0,Short_Opponent Territory
0,-23.0,1175.0,Long_Opponent Territory
1,23.0,1036.0,Short_Opponent Territory
1,23.0,731.0,Short_Red Zone
1,-30.0,389.0,Long_Red Zone
0,4.0,2339.0,Medium_Opponent Territory
1,-11.0,1243.0,Short_Midfield Area
0,-15.0,163.0,Medium_Red Zone
1,-5.0,426.0,Short_Red Zone
0,-2.0,25.0,Medium_Midfield Area
1,-3.0,1173.0,Short_Opponent Territory
1,-3.0,678.0,Short_Red Zone
1,-7.0,2722.0,Short_Midfield Area
0,4.0,2343.0,Short_Opponent Territory
1,-3.0,1920.0,Short_Opponent Territory
1,-4.0,181.0,Short_Red Zone
1,-4.0,143.0,Medium_Red Zone
0,8.0,311.0,Short_Midfield Area
0,8.0,65.0,Long_Opponent Territory
0,-8.0,47.0,Long_Midfield Area
0,-3.0,3266.0,Short_Midfield Area
1,-6.0,1145.0,Short_Midfield Area
1,0.0,3325.0,Short_Opponent Territory
1,20.0,1094.0,Short_Opponent Territory
1,-27.0,588.0,Short_Midfield Area
1,-27.0,363.0,Medium_Opponent Territory
1,-27.0,210.0,Short_Red Zone
1,-24.0,1290.0,Short_Midfield Area
1,18.0,855.0,Short_Midfield Area
1,-18.0,312.0,Short_Red Zone
1,-12.0,201.0,Long_Midfield Area
0,-5.0,33.0,Long_Opponent Territory
0,-7.0,2599.0,Short_Midfield Area
0,-17.0,1365.0,Medium_Midfield Area
1,24.0,483.0,Medium_Red Zone
1,10.0,1513.0,Short_Red Zone
1,-17.0,1208.0,Medium_Red Zone
0,-17.0,513.0,Long_Opponent Territory
0,-24.0,382.0,Long_Midfield Area
0,-1.0,2252.0,Short_Opponent Territory
0,-5.0,786.0,Short_Opponent Territory
0,3.0,227.0,Medium_Red Zone
1,-3.0,165.0,Medium_Own Territory
1,11.0,1524.0,Short_Opponent Territory
0,11.0,494.0,Short_Opponent Territory
0,-11.0,237.0,Medium_Midfield Area
0,-11.0,196.0,Long_Midfield Area
1,0.0,3228.0,Short_Opponent Territory
1,-7.0,2700.0,Short_Opponent Territory
1,0.0,3390.0,Medium_Opponent Territory
0,-3.0,141.0,Long_Midfield Area
0,-6.0,53.0,Long_Opponent Territory
0,3.0,1525.0,Medium_Red Zone
1,-4.0,170.0,Medium_Opponent Territory
1,-3.0,126.0,Medium_Midfield Area
1,-4.0,2160.0,Medium_Opponent Territory
0,0.0,1680.0,Short_Midfield Area
1,-3.0,858.0,Short_Red Zone
1,3.0,473.0,Short_Red Zone
1,1.0,2622.0,Short_Opponent Territory
0,1.0,2021.0,Short_Opponent Territory
1,-14.0,121.0,Long_Midfield Area
0,-14.0,79.0,Long_Opponent Territory
1,-9.0,1450.0,Short_Opponent Territory
0,-5.0,63.0,Short_Midfield Area
0,-4.0,679.0,Short_Red Zone
1,-5.0,84.0,Long_Midfield Area
0,0.0,3330.0,Medium_Opponent Territory
1,-14.0,1037.0,Short_Opponent Territory
0,-14.0,465.0,Medium_Midfield Area
0,-9.0,57.0,Long_Midfield Area
1,0.0,3481.0,Short_Midfield Area
1,-3.0,1456.0,Medium_Opponent Territory
0,0.0,920.0,Short_Red Zone
1,0.0,726.0,Short_Opponent Territory
1,0.0,3198.0,Medium_Opponent Territory
0,-17.0,1468.0,Medium_Midfield Area
0,-20.0,994.0,Long_Opponent Territory
1,20.0,651.0,Short_Red Zone
0,-27.0,486.0,Medium_Midfield Area
1,38.0,33.0,Long_Opponent Territory
1,10.0,914.0,Medium_Red Zone
1,-17.0,454.0,Short_Own Territory
1,-17.0,401.0,Medium_Midfield Area
0,-17.0,293.0,Short_Red Zone
1,-10.0,1846.0,Short_Midfield Area
1,4.0,861.0,Short_Opponent Territory
1,0.0,3327.0,Medium_Red Zone
0,-7.0,1890.0,Short_Red Zone
1,0.0,900.0,Short_Red Zone
1,7.0,116.0,Short_Midfield Area
0,-3.0,1812.0,Long_Opponent Territory
1,-10.0,821.0,Short_Midfield Area
0,0.0,378.0,Short_Opponent Territory
1,-7.0,72.0,Medium_Midfield Area
1,14.0,1080.0,Short_Midfield Area
1,-21.0,525.0,Long_Red Zone
0,-21.0,285.0,Long_Midfield Area
1,21.0,142.0,Short_Opponent Territory
0,0.0,3250.0,Medium_Opponent Territory
1,-13.0,213.0,Medium_Opponent Territory
0,-13.0,155.0,Long_Red Zone
0,-13.0,109.0,Long_Midfield Area
1,0.0,3376.0,Short_Opponent Territory
1,0.0,3248.0,Short_Red Zone
1,-12.0,1127.0,Short_Red Zone
0,5.0,853.0,Short_Opponent Territory
0,-5.0,744.0,Long_Opponent Territory
1,-5.0,111.0,Medium_Red Zone
1,-7.0,1920.0,Short_Midfield Area
1,-24.0,921.0,Short_Opponent Territory
0,-18.0,292.0,Short_Opponent Territory
1,-7.0,856.0,Medium_Opponent Territory
0,0.0,3446.0,Short_Opponent Territory
0,-31.0,674.0,Medium_Opponent Territory
0,-4.0,2353.0,Short_Midfield Area
0,-17.0,935.0,Long_Opponent Territory
1,-13.0,226.0,Medium_Red Zone
1,-7.0,2154.0,Short_Own Territory
1,-7.0,1069.0,Short_Opponent Territory
1,-7.0,900.0,Short_Red Zone
1,0.0,508.0,Short_Opponent Territory
0,-7.0,67.0,Short_Opponent Territory
1,-7.0,3178.0,Short_Opponent Territory
1,-4.0,2660.0,Short_Opponent Territory
0,-6.0,1981.0,Short_Midfield Area
0,-17.0,867.0,Short_Midfield Area
1,17.0,800.0,Short_Red Zone
1,-24.0,753.0,Medium_Midfield Area
0,-24.0,618.0,Medium_Opponent Territory
1,24.0,345.0,Short_Opponent Territory
0,-29.0,1293.0,Medium_Opponent Territory
1,29.0,919.0,Medium_Opponent Territory
0,-36.0,622.0,Short_Opponent Territory
1,-36.0,120.0,Short_Red Zone
0,-3.0,3141.0,Short_Midfield Area
1,-4.0,2613.0,Short_Midfield Area
0,11.0,1924.0,Short_Red Zone
1,0.0,3041.0,Short_Red Zone
0,10.0,895.0,Short_Opponent Territory
1,-4.0,511.0,Short_Midfield Area
1,-3.0,230.0,Long_Midfield Area
0,0.0,2847.0,Short_Midfield Area
1,0.0,2543.0,Short_Red Zone
1,-7.0,204.0,Short_Red Zone
1,-3.0,2929.0,Short_Opponent Territory
0,-12.0,860.0,Short_Opponent Territory
0,3.0,344.0,Medium_Red Zone
1,-11.0,2282.0,Short_Midfield Area
0,10.0,254.0,Medium_Red Zone
1,-10.0,133.0,Short_Red Zone
0,-3.0,14.0,Long_Midfield Area
0,5.0,776.0,Short_Opponent Territory
0,-9.0,342.0,Medium_Opponent Territory
0,-12.0,111.0,Long_Midfield Area
1,3.0,2366.0,Medium_Red Zone
0,-10.0,2063.0,Medium_Opponent Territory
1,-14.0,1476.0,Short_Opponent Territory
0,-18.0,1562.0,Medium_Opponent Territory
1,-8.0,245.0,Short_Midfield Area
0,-8.0,62.0,Long_Opponent Territory
0,8.0,6.0,Long_Midfield Area
0,0.0,3247.0,Short_Opponent Territory
1,-7.0,181.0,Medium_Midfield Area
1,0.0,3287.0,Short_Midfield Area
1,6.0,2114.0,Short_Midfield Area
1,6.0,1017.0,Short_Opponent Territory
0,-19.0,412.0,Short_Midfield Area
1,3.0,2968.0,Short_Opponent Territory
1,-10.0,2575.0,Short_Red Zone
1,-15.0,533.0,Medium_Opponent Territory
0,-20.0,1221.0,Short_Opponent Territory
0,-24.0,827.0,Short_Opponent Territory
1,-24.0,521.0,Medium_Red Zone
1,24.0,933.0,Short_Midfield Area
0,-7.0,2621.0,Short_Red Zone
0,-29.0,1135.0,Short_Midfield Area
1,-37.0,856.0,Short_Opponent Territory
1,3.0,2892.0,Medium_Opponent Territory
1,-17.0,2217.0,Medium_Opponent Territory
1,-4.0,211.0,Medium_Opponent Territory
1,0.0,3195.0,Short_Red Zone
1,0.0,1894.0,Short_Midfield Area
1,-4.0,1177.0,Short_Red Zone
1,-2.0,1665.0,Short_Midfield Area
1,-12.0,770.0,Short_Opponent Territory
0,-12.0,606.0,Long_Opponent Territory
1,-12.0,353.0,Medium_Midfield Area
1,12.0,252.0,Medium_Opponent Territory
0,-12.0,49.0,Long_Red Zone
1,7.0,2959.0,Short_Opponent Territory
1,7.0,2831.0,Short_Opponent Territory
1,-14.0,2411.0,Short_Opponent Territory
1,6.0,1006.0,Short_Midfield Area
1,-3.0,25.0,Medium_Opponent Territory
0,-3.0,221.0,Short_Red Zone
1,0.0,205.0,Short_Opponent Territory
0,-15.0,1854.0,Long_Opponent Territory
0,-10.0,1015.0,Short_Opponent Territory
1,10.0,74.0,Long_Red Zone
1,-17.0,5.0,Medium_Opponent Territory
0,-4.0,58.0,Long_Red Zone
0,14.0,1920.0,Medium_Opponent Territory
0,-7.0,964.0,Short_Opponent Territory
0,6.0,2135.0,Short_Opponent Territory
1,-6.0,1170.0,Short_Opponent Territory
1,0.0,3351.0,Short_Opponent Territory
